principal-local-authority	name	name-cy	official-name	official-name-cy	start-date	end-date
AGY	Isle of Anglesey	Sir Ynys Môn	Isle of Anglesey County Council	Cyngor Sir Ynys Môn	1996-04-01	
BGE	Bridgend	Pen-y-bont ar Ogwr	Bridgend County Borough Council	Cyngor Bwrdeistref Sirol Pen-y-bont ar Ogwr	1996-04-01	
BGW	Blaenau Gwent	Blaenau Gwent	Blaenau Gwent County Borough Council	Cyngor Bwrdeistref Sirol Blaenau Gwent	1996-04-01	
CAY	Caerphilly	Caerffili	Caerphilly County Borough Council	Cyngor Bwrdeistref Sirol Caerffili	1996-04-01	
CGN	Ceredigion	Ceredigion	Ceredigion County Council	Cyngor Sir Ceredigion	1996-04-01	
CMN	Carmarthenshire	Sir Gaerfyrddin	Carmarthenshire County Council	Cyngor Sir Gâr	1996-04-01	
CRF	Cardiff	Caerdydd	City of Cardiff Council	Cyngor Dinas Caerdydd	1996-04-01	
CWY	Conwy	Conwy	Conwy County Borough Council	Cyngor Bwrdeistref Sirol Conwy	1996-04-01	
DEN	Denbighshire	Sir Ddinbych	Denbighshire County Council	Cyngor Sir Ddinbych	1996-04-01	
FLN	Flintshire	Sir y Fflint	Flintshire County Council	Cyngor Sir y Fflint	1996-04-01	
GWN	Gwynedd	Gwynedd	Gwynedd Council	Cyngor Gwynedd	1996-04-01	
MON	Monmouthshire	Sir Fynwy	Monmouthshire County Council	Cyngor Sir Fynwy	1996-04-01	
MTY	Merthyr Tydfil	Merthyr Tudful	Merthyr Tydfil County Borough Council	Cyngor Bwrdeistref Sirol Merthyr Tudful	1996-04-01	
NTL	Neath Port Talbot	Castell-nedd Port Talbot	Neath Port Talbot County Borough Council	Cyngor Bwrdeistref Sirol Castell-nedd Port Talbot	1996-04-01	
NWP	Newport	Casnewydd	Newport City Council	Cyngor Dinas Casnewydd	1996-04-01	
PEM	Pembrokeshire	Sir Benfro	Pembrokeshire County Council	Cyngor Sir Penfro	1996-04-01	
POW	Powys	Powys	Powys County Council	Cyngor Sir Powys	1996-04-01	
RCT	Rhondda Cynon Taff		Rhondda Cynon Taf County Borough Council	Cyngor Bwrdeistref Sirol Rhondda Cynon Taf	1996-04-01	
SWA	Swansea	Abertawe	City and County of Swansea Council	Dinas a Sir Abertawe	1996-04-01	
TOF	Torfaen	Tor-faen	Torfaen County Borough Council	Cyngor Bwrdeistref Sirol Torfaen	1996-04-01	
VGL	The Vale of Glamorgan	Bro Morgannwg	Vale of Glamorgan Council	Cyngor Bro Morgannwg	1996-04-01	
WRX	Wrexham	Wrecsam	Wrexham County Borough Council	Cyngor Bwrdeistref Sirol Wrecsam	1996-04-01	
