os	local-authority	name
7000000000001386	CAM	Cambridgeshire
7000000000002625	ESX	East Sussex
7000000000002993	WOR	Worcestershire
7000000000003909	HRT	Hertfordshire
7000000000005156	LAN	Lancashire
7000000000005942	LIN	Lincolnshire
7000000000007238	NFK	Norfolk
7000000000007371	NTH	Northamptonshire
7000000000008127	NTT	Nottinghamshire
7000000000008328	OXF	Oxfordshire
7000000000010049	WAR	Warwickshire
7000000000011378	BNE	Barnet
7000000000010578	SOM	Somerset
7000000000011901	BKM	Buckinghamshire
7000000000013244	CMA	Cumbria
7000000000013688	DBY	Derbyshire
7000000000013965	SRY	Surrey
7000000000014362	DOR	Dorset
7000000000015052	STS	Staffordshire
7000000000015934	SFK	Suffolk
7000000000016417	WSX	West Sussex
7000000000017765	HAM	Hampshire
7000000000018210	KEN	Kent
7000000000019687	ESS	Essex
7000000000020616	GLS	Gloucestershire
7000000000022028	NYK	North Yorkshire
7000000000023147	DEV	Devon
7000000000023423	LEC	Leicestershire
7000000000025469	IOW	Isle of Wight
7000000000025482	AGY	Sir Ynys Mon
7000000000025483	GWN	Gwynedd
7000000000025484	CRF	Caerdydd
7000000000025485	CGN	Sir Ceredigion
7000000000025486	CMN	Sir Gaerfyrddin
7000000000025487	DEN	Sir Ddinbych
7000000000025489	MON	Sir Fynwy
7000000000025490	PEM	Sir Benfro
7000000000025491	POW	Powys
7000000000025492	SWA	Abertawe
7000000000025493	CWY	Conwy
7000000000025494	BGW	Blaenau Gwent - Blaenau
7000000000025495	BGE	Pen-y-bont ar Ogwr
7000000000025496	CAY	Caerffili
7000000000025497	MTY	Merthyr Tudful - Merthyr
7000000000025498	NTL	Castell-nedd Port Talbot - Neath Port
7000000000025500	RCT	Rhondda Cynon Taf - Rhondda Cynon
7000000000025502	VGL	Bro Morgannwg - the Vale of
7000000000025504	NSM	North Somerset
7000000000025523	BST	City of Bristol
7000000000025554	BAS	Bath and North East Somerset
7000000000025559	SGC	South Gloucestershire
7000000000025586	MDB	Middlesbrough
7000000000025587	STT	Stockton-on-Tees
7000000000025588	RCC	Redcar and Cleveland
7000000000025589	HPL	Hartlepool
7000000000025595	YOR	York
7000000000025623	NLN	North Lincolnshire
7000000000025635	ERY	East Riding of Yorkshire
7000000000025639	KHL	City of Kingston upon Hull
7000000000025650	NEL	North East Lincolnshire
7000000000025776	FLN	Sir y Fflint
7000000000025831	WRX	Wrecsam
7000000000029638	HLD	Highland
7000000000029959	MRY	Moray
7000000000029961	ORK	Orkney
7000000000030022		Na h-Eileanan an Iar
7000000000030106	AGB	Argyll and Bute
7000000000030110	PKN	Perth and Kinross
7000000000030111	ABD	Aberdeenshire
7000000000030215	DND	Dundee
7000000000030216	ANS	Angus
7000000000030418	CLK	Clackmannanshire
7000000000030419	FIF	Fife
7000000000030421	ABE	Aberdeen
7000000000030501	EDU	East Dunbartonshire
7000000000030502	STG	Stirling
7000000000030503	NLK	North Lanarkshire
7000000000030504	FAL	Falkirk
7000000000030505	EDH	City of Edinburgh
7000000000030509	ELN	East Lothian
7000000000030514	ZET	Shetland
7000000000030628	NAY	North Ayrshire
7000000000030629	IVC	Inverclyde
7000000000030630	RFW	Renfrewshire
7000000000030631	GLG	Glasgow
7000000000030632	WLN	West Lothian
7000000000030634	MLN	Midlothian
7000000000030846	ERW	East Renfrewshire
7000000000030847	SLK	South Lanarkshire
7000000000031903	DGY	Dumfries and Galloway
7000000000036549	WDU	West Dunbartonshire
7000000000036552	SCB	Scottish Borders
7000000000036749	BNH	The City of Brighton and Hove
7000000000037254	POR	City of Portsmouth
7000000000037256	STH	City of Southampton
7000000000037528	RUT	Rutland
7000000000037533	LCE	City of Leicester
7000000000037536	LUT	Luton
7000000000037538	DER	City of Derby
7000000000038141	SWD	Swindon
7000000000038339	POL	Poole
7000000000038340	BMH	Bournemouth
7000000000038404	DAL	Darlington
7000000000038408	STE	City of Stoke-on-Trent
7000000000038413	MIK	Milton Keynes
7000000000038840	BBD	Blackburn with Darwen
7000000000038843	WRT	Warrington
7000000000038848	HAL	Halton
7000000000038854	TFW	Telford and Wrekin
7000000000038857	NGM	City of Nottingham
7000000000038861	BPL	Blackpool
7000000000038866	THR	Thurrock
7000000000038872	PLY	City of Plymouth
7000000000038883	TOB	Torbay
7000000000038886	PTE	City of Peterborough
7000000000038891	SLG	Slough
7000000000038892	WNM	Windsor and Maidenhead
7000000000038893	BRC	Bracknell Forest
7000000000038894	WOK	Wokingham
7000000000038895	RDG	Reading
7000000000038899	WBK	West Berkshire
7000000000038904	HEF	County of Herefordshire
7000000000038907	SOS	Southend-on-Sea
7000000000038908	MDW	Medway
7000000000041441	GLA	Greater London
7000000000043391	SAY	South Ayrshire
7000000000043393	EAY	East Ayrshire
7000000000043552	CHW	Cheshire West and Chester
7000000000043553	CHE	Cheshire East
7000000000043607	DUR	County Durham
7000000000043674	NBL	Northumberland
7000000000043750	CON	Cornwall
7000000000043822	SHR	Shropshire
7000000000043870	CBF	Central Bedfordshire
7000000000043871	BDF	Bedford
7000000000043925	WIL	Wiltshire
7000000000043972	IOS	Isles of Scilly
7000000000044425	TOF	Tor-faen
7000000000044426	NWP	Casnewydd
