website	local-authority-nir	local-authority-sct	local-authority-wls
http://www.armaghbanbridgecraigavon.org	ABC		
http://www.ardsandnorthdown.gov.uk	AND		
http://www.antrimandnewtownabbey.gov.uk	ANN		
http://www.belfastcity.gov.uk	BFS		
http://www.causewaycoastandglens.gov.uk	CCG		
http://www.derrycityandstrabanedistrict.com	DRS		
http://www.fermanaghomagh.com	FMO		
https://www.lisburncastlereagh.gov.uk	LBC		
http://www.midandeastantrim.gov.uk	MEA		
http://www.midulstercouncil.org	MUL		
http://www.newrymournedown.org	NMD		
http://www.derrycity.gov.uk	NIR-A		
http://www.limavady.gov.uk	NIR-B		
http://www.colerainebc.gov.uk	NIR-C		
http://www.ballymoney.gov.uk	NIR-D		
http://www.moyle-council.org	NIR-E		
http://www.larne.gov.uk	NIR-F		
http://www.ballymena.gov.uk	NIR-G		
http://www.magherafelt.gov.uk	NIR-H		
http://www.cookstown.gov.uk	NIR-I		
http://www.strabanedc.org.uk	NIR-J		
http://www.omagh.gov.uk	NIR-K		
http://www.fermanagh.gov.uk	NIR-L		
http://www.dungannon.gov.uk	NIR-M		
http://www.craigavon.gov.uk	NIR-N		
http://www.armagh.gov.uk	NIR-O		
http://www.newryandmournedc.gov.uk	NIR-P		
http://www.banbridge.com	NIR-Q		
http://www.downdc.gov.uk	NIR-R		
http://www.lisburncity.gov.uk	NIR-S		
http://www.antrim.gov.uk	NIR-T		
http://www.newtownabbey.gov.uk	NIR-U		
http://www.carrickfergus.org	NIR-V		
http://www.northdown.gov.uk	NIR-W		
http://www.ards-council.gov.uk	NIR-X		
http://www.castlereagh.gov.uk	NIR-Y		
http://www.aberdeenshire.gov.uk		ABD	
http://www.aberdeencity.gov.uk		ABE	
http://www.argyll-bute.gov.uk		AGB	
http://www.angus.gov.uk		ANS	
http://www.clacksweb.org.uk		CLK	
http://www.dumgal.gov.uk		DGY	
http://www.dundeecity.gov.uk		DND	
http://www.east-ayrshire.gov.uk		EAY	
http://www.edinburgh.gov.uk		EDH	
http://www.eastdunbarton.gov.uk		EDU	
http://www.eastlothian.gov.uk		ELN	
http://www.cne-siar.gov.uk		ELS	
http://www.eastrenfrewshire.gov.uk		ERW	
http://www.falkirk.gov.uk		FAL	
http://www.fifedirect.org.uk		FIF	
http://www.glasgow.gov.uk		GLG	
http://www.highland.gov.uk		HLD	
http://www.inverclyde.gov.uk		IVC	
http://www.midlothian.gov.uk		MLN	
http://www.moray.gov.uk		MRY	
http://www.north-ayrshire.gov.uk		NAY	
http://www.northlanarkshire.gov.uk		NLK	
http://www.orkney.gov.uk		ORK	
http://www.pkc.gov.uk		PKN	
http://www.renfrewshire.gov.uk		RFW	
http://www.south-ayrshire.gov.uk		SAY	
http://www.scotborders.gov.uk		SCB	
http://www.southlanarkshire.gov.uk		SLK	
http://www.stirling.gov.uk		STG	
http://www.west-dunbarton.gov.uk		WDU	
http://www.westlothian.gov.uk		WLN	
http://www.shetland.gov.uk		ZET	
http://www.anglesey.gov.uk			AGY
http://www.bridgend.gov.uk			BGE
http://www.blaenau-gwent.gov.uk			BGW
http://www.caerphilly.gov.uk			CAY
http://www.ceredigion.gov.uk			CGN
http://www.carmarthenshire.gov.uk			CMN
http://www.cardiff.gov.uk			CRF
http://www.conwy.gov.uk			CWY
http://www.denbighshire.gov.uk			DEN
http://www.flintshire.gov.uk			FLN
http://www.gwynedd.gov.uk			GWN
http://www.monmouthshire.gov.uk			MON
http://www.merthyr.gov.uk			MTY
http://www.neath-porttalbot.gov.uk			NTL
http://www.newport.gov.uk			NWP
http://www.pembrokeshire.gov.uk			PEM
http://www.powys.gov.uk			POW
http://www.rctcbc.gov.uk			RCT
http://www.swansea.gov.uk			SWA
http://www.torfaen.gov.uk			TOF
http://www.valeofglamorgan.gov.uk			VGL
http://www.wrexham.gov.uk			WRX
